question,query
Insert a new document with the fields 'name' and 'phone' into the 'contacts' collection.,"db.contacts.insertOne({ name: 'Jane', phone: '1234567890' })"
Find all documents where the 'quantity' field is not equal to 0.,db.documents.find({ quantity: { $ne: 0 } })
Retrieve all users who have not logged in for more than 30 days.,db.users.find({ last_login: { $lt: new Date(Date.now() - 30 * 24 * 60 * 60 * 1000) } })
Find all products with a price between $10 and $50.,"db.products.find({ price: { $gt: 10, $lt: 50 } })"
Get the titles of all articles published in the last week.,"db.articles.find({ publication_date: { $gte: new Date(Date.now() - 7 * 24 * 60 * 60 * 1000) } }, { title: 1 })"
Insert a new document with the fields 'username' and 'age' into the 'customers' collection.,"db.customers.insertOne({ username: 'username', age: 30 })"
Retrieve the value of the field 'description' for all items in the 'catalog' collection.,"db.catalog.find({}, { description: 1 })"
Find all documents where the 'status' field is 'pending' and the 'priority' field is 'urgent'.,"db.tasks.find({ status: 'pending', priority: 'urgent' })"
Retrieve the value of the key 'date' for all tasks in the 'todo' collection.,"db.todo.find({}, { date: 1 })"
Get all comments made on posts with the tag 'tutorial'.,db.comments.find({ post_tag: 'tutorial' })
Insert a new document with the fields 'email' and 'password' into the 'users' collection.,"db.users.insertOne({ email: 'email@example.com', password: 'password' })"
Retrieve the value of the field 'category' for all items in the 'products' collection.,"db.products.find({}, { category: 1 })"
Find all documents where the 'status' field is not equal to 'resolved' or 'closed'.,"db.documents.find({ status: { $nin: ['resolved', 'closed'] } })"
Retrieve the value of the key 'title' for all movies in the 'collection' collection.,"db.collection.find({}, { title: 1 })"
Get all orders with a total amount greater than $1000 and less than $5000.,"db.orders.find({ total_amount: { $gt: 1000, $lt: 5000 } })"
Insert a new document with the fields 'name' and 'address' into the 'companies' collection.,"db.companies.insertOne({ name: 'Company', address: 'Address' })"
Retrieve the value of the field 'rating' for all products in the 'items' collection.,"db.items.find({}, { rating: 1 })"
Find all documents where the 'quantity' field is not equal to 0.,db.documents.find({ quantity: { $ne: 0 } })
Retrieve the value of the key 'title' for all books in the 'library' collection.,"db.library.find({}, { title: 1 })"
Get all users who have made purchases in the last month.,db.users.find({ last_purchase_date: { $gte: new Date(Date.now() - 30 * 24 * 60 * 60 * 1000) } })
Insert a new document with the fields 'name' and 'phone' into the 'contacts' collection.,"db.contacts.insertOne({ name: 'Name', phone: '1234567890' })"
Retrieve the value of the field 'category' for all items in the 'inventory' collection.,"db.inventory.find({}, { category: 1 })"
Find all documents where the 'status' field is 'active' and the 'priority' field is 'high'.,"db.documents.find({ $and: [ { status: 'active' }, { priority: 'high' } ] })"
